,cellular_classification,sex_ontology_term_id,tissue_ontology_term_id,assay_ontology_term_id,disease_ontology_term_id,cell_type_ontology_term_id,self_reported_ethnicity_ontology_term_id,development_stage_ontology_term_id,organism_ontology_term_id,is_primary_data,donor_id,suspension_type,tissue_type,cell_type,assay,disease,organism,sex,tissue,self_reported_ethnicity,development_stage,observation_joinid,source,orig.ident,nCount_RNA,nFeature_RNA,nCount_refAssay,nFeature_refAssay,predicted.annotation.l1.score,predicted.annotation.l1,mapping.score,hra_prediction,Organ_Level,Organ_ID,Annotation_Label_ID,CL_Label,clid,match_type,gene_expr
D28.1_1,alpha,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000148,NCBITaxon:9606,True,D28,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,54-year-old human stage,(n|47dBj#~,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,101766.0,4685,90386.0,4363,0.9999999999999999,alpha,0.9999954648702337,alpha,Pancreas_L1,UBERON:0001264,AZ:0000400,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:10816"", ""gene_label"": ""SCG5"", ""ensembl_id"": ""ENSG00000166922"", ""mean_gene_expr_value"": 20.903030395507812}, {""gene_id"": ""HGNC:8744"", ""gene_label"": ""PCSK2"", ""ensembl_id"": ""ENSG00000125851"", ""mean_gene_expr_value"": 18.403030395507812}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 239.2515106201172}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 318.2060852050781}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 14.796969413757324}, {""gene_id"": ""HGNC:9286"", ""gene_label"": ""PPP1R1A"", ""ensembl_id"": ""ENSG00000135447"", ""mean_gene_expr_value"": 5.160606384277344}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 9.903031349182129}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 7.221212387084961}, {""gene_id"": ""HGNC:2303"", ""gene_label"": ""CPE"", ""ensembl_id"": ""ENSG00000109472"", ""mean_gene_expr_value"": 19.175756454467773}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.615152359008789}]"
D28.1_2,endothelial,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000115,unknown,HsapDv:0000148,NCBITaxon:9606,True,D28,cell,tissue,endothelial cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,54-year-old human stage,baOm2&VkVw,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,87455.0,5577,76844.0,5217,0.7330632551629612,endothelial,0.9996936893492625,endothelial,Pancreas_L1,UBERON:0001264,AZ:0000391,endothelial cell,CL:0000115,skos:exactMatch,"[{""gene_id"": ""HGNC:16643"", ""gene_label"": ""SLMAP"", ""ensembl_id"": ""ENSG00000163681"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:2203"", ""gene_label"": ""COL4A2"", ""ensembl_id"": ""ENSG00000134871"", ""mean_gene_expr_value"": 12.5}, {""gene_id"": ""HGNC:5384"", ""gene_label"": ""IDH3A"", ""ensembl_id"": ""ENSG00000166411"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:6879"", ""gene_label"": ""MAPK6"", ""ensembl_id"": ""ENSG00000069956"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:11317"", ""gene_label"": ""SSBP1"", ""ensembl_id"": ""ENSG00000106028"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:10989"", ""gene_label"": ""SLC25A3"", ""ensembl_id"": ""ENSG00000075415"", ""mean_gene_expr_value"": 4.5}, {""gene_id"": ""HGNC:3481"", ""gene_label"": ""ETFA"", ""ensembl_id"": ""ENSG00000140374"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:6141"", ""gene_label"": ""ITGA5"", ""ensembl_id"": ""ENSG00000161638"", ""mean_gene_expr_value"": 5.099999904632568}, {""gene_id"": ""HGNC:10774"", ""gene_label"": ""SFPQ"", ""ensembl_id"": ""ENSG00000116560"", ""mean_gene_expr_value"": 2.5}, {""gene_id"": ""HGNC:5473"", ""gene_label"": ""IGFBP4"", ""ensembl_id"": ""ENSG00000141753"", ""mean_gene_expr_value"": 6.500000476837158}]"
D28.1_3,delta,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000173,unknown,HsapDv:0000148,NCBITaxon:9606,True,D28,cell,tissue,pancreatic D cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,54-year-old human stage,;p4mE0flT0,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,132888.0,4486,127563.0,4174,0.8521959840178306,delta,0.9999738086145338,delta,Pancreas_L1,UBERON:0001264,AZ:0000396,pancreatic D cell,CL:0000173,skos:exactMatch,"[{""gene_id"": ""HGNC:11329"", ""gene_label"": ""SST"", ""ensembl_id"": ""ENSG00000157005"", ""mean_gene_expr_value"": 483.9571533203125}, {""gene_id"": ""HGNC:5389"", ""gene_label"": ""IDS"", ""ensembl_id"": ""ENSG00000010404"", ""mean_gene_expr_value"": 10.95714282989502}, {""gene_id"": ""HGNC:30291"", ""gene_label"": ""G3BP2"", ""ensembl_id"": ""ENSG00000138757"", ""mean_gene_expr_value"": 2.528571367263794}, {""gene_id"": ""HGNC:1132"", ""gene_label"": ""BTG3"", ""ensembl_id"": ""ENSG00000154640"", ""mean_gene_expr_value"": 3.385714054107666}, {""gene_id"": ""HGNC:2549"", ""gene_label"": ""CELF1"", ""ensembl_id"": ""ENSG00000149187"", ""mean_gene_expr_value"": 2.528571128845215}, {""gene_id"": ""HGNC:13406"", ""gene_label"": ""PCLO"", ""ensembl_id"": ""ENSG00000186472"", ""mean_gene_expr_value"": 3.385714054107666}, {""gene_id"": ""HGNC:6836"", ""gene_label"": ""MAP1B"", ""ensembl_id"": ""ENSG00000131711"", ""mean_gene_expr_value"": 6.814285755157471}, {""gene_id"": ""HGNC:13760"", ""gene_label"": ""CYFIP2"", ""ensembl_id"": ""ENSG00000055163"", ""mean_gene_expr_value"": 1.2428572177886963}, {""gene_id"": ""HGNC:10782"", ""gene_label"": ""SRSF11"", ""ensembl_id"": ""ENSG00000116754"", ""mean_gene_expr_value"": 3.9571428298950195}, {""gene_id"": ""HGNC:29282"", ""gene_label"": ""SLAIN2"", ""ensembl_id"": ""ENSG00000109171"", ""mean_gene_expr_value"": 1.6714285612106323}]"
D28.1_4,beta,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000169,unknown,HsapDv:0000148,NCBITaxon:9606,True,D28,cell,tissue,type B pancreatic cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,54-year-old human stage,mW_Q_!enp9,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,86786.0,6282,76026.0,5851,0.8032302593700141,beta,0.8211790180745716,beta,Pancreas_L1,UBERON:0001264,AZ:0000399,type B pancreatic cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:10816"", ""gene_label"": ""SCG5"", ""ensembl_id"": ""ENSG00000166922"", ""mean_gene_expr_value"": 20.903030395507812}, {""gene_id"": ""HGNC:8744"", ""gene_label"": ""PCSK2"", ""ensembl_id"": ""ENSG00000125851"", ""mean_gene_expr_value"": 18.403030395507812}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 239.2515106201172}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 318.2060852050781}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 14.796969413757324}, {""gene_id"": ""HGNC:9286"", ""gene_label"": ""PPP1R1A"", ""ensembl_id"": ""ENSG00000135447"", ""mean_gene_expr_value"": 5.160606384277344}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 9.903031349182129}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 7.221212387084961}, {""gene_id"": ""HGNC:2303"", ""gene_label"": ""CPE"", ""ensembl_id"": ""ENSG00000109472"", ""mean_gene_expr_value"": 19.175756454467773}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.615152359008789}]"
D28.1_5,unclear,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0008024,unknown,HsapDv:0000148,NCBITaxon:9606,True,D28,cell,tissue,pancreatic endocrine cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,54-year-old human stage,F*c)e8M`I<,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,41726.0,4081,36967.0,3819,0.9082799629945287,ductal,0.9998327972079885,ductal,Pancreas_L1,UBERON:0001264,AZ:0000397,pancreatic ductal cell,CL:0002079,skos:exactMatch,"[{""gene_id"": ""HGNC:542"", ""gene_label"": ""ANXA4"", ""ensembl_id"": ""ENSG00000196975"", ""mean_gene_expr_value"": 15.899999618530273}, {""gene_id"": ""HGNC:1689"", ""gene_label"": ""CD59"", ""ensembl_id"": ""ENSG00000085063"", ""mean_gene_expr_value"": 12.642857551574707}, {""gene_id"": ""HGNC:1884"", ""gene_label"": ""CFTR"", ""ensembl_id"": ""ENSG00000001626"", ""mean_gene_expr_value"": 9.98571491241455}, {""gene_id"": ""HGNC:1645"", ""gene_label"": ""CD24"", ""ensembl_id"": ""ENSG00000272398"", ""mean_gene_expr_value"": 29.557140350341797}, {""gene_id"": ""HGNC:598"", ""gene_label"": ""APLP2"", ""ensembl_id"": ""ENSG00000084234"", ""mean_gene_expr_value"": 4.8428568840026855}, {""gene_id"": ""HGNC:4932"", ""gene_label"": ""HLA-B"", ""ensembl_id"": ""ENSG00000234745"", ""mean_gene_expr_value"": 27.328569412231445}, {""gene_id"": ""HGNC:6446"", ""gene_label"": ""KRT8"", ""ensembl_id"": ""ENSG00000170421"", ""mean_gene_expr_value"": 6.728571891784668}, {""gene_id"": ""HGNC:8139"", ""gene_label"": ""ONECUT2"", ""ensembl_id"": ""ENSG00000119547"", ""mean_gene_expr_value"": 4.72857141494751}, {""gene_id"": ""HGNC:537"", ""gene_label"": ""ANXA2"", ""ensembl_id"": ""ENSG00000182718"", ""mean_gene_expr_value"": 14.15714168548584}, {""gene_id"": ""HGNC:11881"", ""gene_label"": ""TMSB4X"", ""ensembl_id"": ""ENSG00000205542"", ""mean_gene_expr_value"": 20.55714225769043}]"
D28.1_13,duct,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0002079,unknown,HsapDv:0000148,NCBITaxon:9606,True,D28,cell,tissue,pancreatic ductal cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,54-year-old human stage,{q>?P4VkTu,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,56820.0,5100,50378.0,4783,0.9999999999999997,ductal,1.0,ductal,Pancreas_L1,UBERON:0001264,AZ:0000397,pancreatic ductal cell,CL:0002079,skos:exactMatch,"[{""gene_id"": ""HGNC:542"", ""gene_label"": ""ANXA4"", ""ensembl_id"": ""ENSG00000196975"", ""mean_gene_expr_value"": 15.899999618530273}, {""gene_id"": ""HGNC:1689"", ""gene_label"": ""CD59"", ""ensembl_id"": ""ENSG00000085063"", ""mean_gene_expr_value"": 12.642857551574707}, {""gene_id"": ""HGNC:1884"", ""gene_label"": ""CFTR"", ""ensembl_id"": ""ENSG00000001626"", ""mean_gene_expr_value"": 9.98571491241455}, {""gene_id"": ""HGNC:1645"", ""gene_label"": ""CD24"", ""ensembl_id"": ""ENSG00000272398"", ""mean_gene_expr_value"": 29.557140350341797}, {""gene_id"": ""HGNC:598"", ""gene_label"": ""APLP2"", ""ensembl_id"": ""ENSG00000084234"", ""mean_gene_expr_value"": 4.8428568840026855}, {""gene_id"": ""HGNC:4932"", ""gene_label"": ""HLA-B"", ""ensembl_id"": ""ENSG00000234745"", ""mean_gene_expr_value"": 27.328569412231445}, {""gene_id"": ""HGNC:6446"", ""gene_label"": ""KRT8"", ""ensembl_id"": ""ENSG00000170421"", ""mean_gene_expr_value"": 6.728571891784668}, {""gene_id"": ""HGNC:8139"", ""gene_label"": ""ONECUT2"", ""ensembl_id"": ""ENSG00000119547"", ""mean_gene_expr_value"": 4.72857141494751}, {""gene_id"": ""HGNC:537"", ""gene_label"": ""ANXA2"", ""ensembl_id"": ""ENSG00000182718"", ""mean_gene_expr_value"": 14.15714168548584}, {""gene_id"": ""HGNC:11881"", ""gene_label"": ""TMSB4X"", ""ensembl_id"": ""ENSG00000205542"", ""mean_gene_expr_value"": 20.55714225769043}]"
D28.1_15,alpha,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000148,NCBITaxon:9606,True,D28,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,54-year-old human stage,#cp;F0I%j%,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,106002.0,5085,96225.0,4740,1.0000000000000002,alpha,0.9999275466078491,alpha,Pancreas_L1,UBERON:0001264,AZ:0000400,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:10816"", ""gene_label"": ""SCG5"", ""ensembl_id"": ""ENSG00000166922"", ""mean_gene_expr_value"": 20.903030395507812}, {""gene_id"": ""HGNC:8744"", ""gene_label"": ""PCSK2"", ""ensembl_id"": ""ENSG00000125851"", ""mean_gene_expr_value"": 18.403030395507812}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 239.2515106201172}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 318.2060852050781}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 14.796969413757324}, {""gene_id"": ""HGNC:9286"", ""gene_label"": ""PPP1R1A"", ""ensembl_id"": ""ENSG00000135447"", ""mean_gene_expr_value"": 5.160606384277344}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 9.903031349182129}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 7.221212387084961}, {""gene_id"": ""HGNC:2303"", ""gene_label"": ""CPE"", ""ensembl_id"": ""ENSG00000109472"", ""mean_gene_expr_value"": 19.175756454467773}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.615152359008789}]"
D28.1_17,alpha,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000148,NCBITaxon:9606,True,D28,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,54-year-old human stage,V4kXxnZj2T,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,67742.0,3893,62739.0,3620,1.0,alpha,0.9995448976214629,alpha,Pancreas_L1,UBERON:0001264,AZ:0000400,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:10816"", ""gene_label"": ""SCG5"", ""ensembl_id"": ""ENSG00000166922"", ""mean_gene_expr_value"": 20.903030395507812}, {""gene_id"": ""HGNC:8744"", ""gene_label"": ""PCSK2"", ""ensembl_id"": ""ENSG00000125851"", ""mean_gene_expr_value"": 18.403030395507812}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 239.2515106201172}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 318.2060852050781}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 14.796969413757324}, {""gene_id"": ""HGNC:9286"", ""gene_label"": ""PPP1R1A"", ""ensembl_id"": ""ENSG00000135447"", ""mean_gene_expr_value"": 5.160606384277344}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 9.903031349182129}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 7.221212387084961}, {""gene_id"": ""HGNC:2303"", ""gene_label"": ""CPE"", ""ensembl_id"": ""ENSG00000109472"", ""mean_gene_expr_value"": 19.175756454467773}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.615152359008789}]"
D28.1_26,endothelial,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000115,unknown,HsapDv:0000148,NCBITaxon:9606,True,D28,cell,tissue,endothelial cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,54-year-old human stage,ae<UppE!{=,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,27815.0,3725,24133.0,3487,0.7217635839374654,endothelial,1.0,endothelial,Pancreas_L1,UBERON:0001264,AZ:0000391,endothelial cell,CL:0000115,skos:exactMatch,"[{""gene_id"": ""HGNC:16643"", ""gene_label"": ""SLMAP"", ""ensembl_id"": ""ENSG00000163681"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:2203"", ""gene_label"": ""COL4A2"", ""ensembl_id"": ""ENSG00000134871"", ""mean_gene_expr_value"": 12.5}, {""gene_id"": ""HGNC:5384"", ""gene_label"": ""IDH3A"", ""ensembl_id"": ""ENSG00000166411"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:6879"", ""gene_label"": ""MAPK6"", ""ensembl_id"": ""ENSG00000069956"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:11317"", ""gene_label"": ""SSBP1"", ""ensembl_id"": ""ENSG00000106028"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:10989"", ""gene_label"": ""SLC25A3"", ""ensembl_id"": ""ENSG00000075415"", ""mean_gene_expr_value"": 4.5}, {""gene_id"": ""HGNC:3481"", ""gene_label"": ""ETFA"", ""ensembl_id"": ""ENSG00000140374"", ""mean_gene_expr_value"": 1.100000023841858}, {""gene_id"": ""HGNC:6141"", ""gene_label"": ""ITGA5"", ""ensembl_id"": ""ENSG00000161638"", ""mean_gene_expr_value"": 5.099999904632568}, {""gene_id"": ""HGNC:10774"", ""gene_label"": ""SFPQ"", ""ensembl_id"": ""ENSG00000116560"", ""mean_gene_expr_value"": 2.5}, {""gene_id"": ""HGNC:5473"", ""gene_label"": ""IGFBP4"", ""ensembl_id"": ""ENSG00000141753"", ""mean_gene_expr_value"": 6.500000476837158}]"
D28.1_29,alpha,PATO:0000384,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000148,NCBITaxon:9606,True,D28,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,male,pancreas,unknown,54-year-old human stage,h<pf+HPK15,cbaf2a53-1185-4056-a1e2-9fe26128eda5,0,173508.0,6377,159489.0,5943,1.0000000000000007,alpha,0.9998720263222675,alpha,Pancreas_L1,UBERON:0001264,AZ:0000400,pancreatic A cell,CL:0000171,skos:exactMatch,"[{""gene_id"": ""HGNC:10816"", ""gene_label"": ""SCG5"", ""ensembl_id"": ""ENSG00000166922"", ""mean_gene_expr_value"": 20.903030395507812}, {""gene_id"": ""HGNC:8744"", ""gene_label"": ""PCSK2"", ""ensembl_id"": ""ENSG00000125851"", ""mean_gene_expr_value"": 18.403030395507812}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 239.2515106201172}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 318.2060852050781}, {""gene_id"": ""HGNC:1929"", ""gene_label"": ""CHGA"", ""ensembl_id"": ""ENSG00000100604"", ""mean_gene_expr_value"": 14.796969413757324}, {""gene_id"": ""HGNC:9286"", ""gene_label"": ""PPP1R1A"", ""ensembl_id"": ""ENSG00000135447"", ""mean_gene_expr_value"": 5.160606384277344}, {""gene_id"": ""HGNC:20303"", ""gene_label"": ""SLC30A8"", ""ensembl_id"": ""ENSG00000164756"", ""mean_gene_expr_value"": 9.903031349182129}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 7.221212387084961}, {""gene_id"": ""HGNC:2303"", ""gene_label"": ""CPE"", ""ensembl_id"": ""ENSG00000109472"", ""mean_gene_expr_value"": 19.175756454467773}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 9.615152359008789}]"
