,cellular_classification,sex_ontology_term_id,tissue_ontology_term_id,assay_ontology_term_id,disease_ontology_term_id,cell_type_ontology_term_id,self_reported_ethnicity_ontology_term_id,development_stage_ontology_term_id,organism_ontology_term_id,is_primary_data,donor_id,suspension_type,tissue_type,cell_type,assay,disease,organism,sex,tissue,self_reported_ethnicity,development_stage,observation_joinid,source,predicted_labels,over_clustering,majority_voting,conf_score,hra_prediction,Organ_Level,Organ_ID,Annotation_Label_ID,CL_Label,clid,match_type,gene_expr
D30.1_1,acinar,PATO:0000383,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0002064,unknown,HsapDv:0000142,NCBITaxon:9606,True,D30,cell,tissue,pancreatic acinar cell,CEL-seq2,normal,Homo sapiens,female,pancreas,unknown,48-year-old human stage,32|6Y$}zkb,cbaf2a53-1185-4056-a1e2-9fe26128eda5,alpha_immature,3,alpha_immature,0.9429785334569011,alpha_immature,Adult_Human_PancreaticIslet_pkl,UBERON:0001264,CT:0000453,pancreatic A cell:immature,CL:0000171,skos:narrowMatch,"[{""gene_id"": ""HGNC:15908"", ""gene_label"": ""NAA20"", ""ensembl_id"": ""ENSG00000173418"", ""mean_gene_expr_value"": 1.9895219802856445}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 1.880687952041626}, {""gene_id"": ""HGNC:402"", ""gene_label"": ""ALDH1A1"", ""ensembl_id"": ""ENSG00000165092"", ""mean_gene_expr_value"": 2.514449119567871}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 0.7813628911972046}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 5.175206661224365}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 5.736221790313721}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 1.7976632118225098}, {""gene_id"": ""HGNC:2395"", ""gene_label"": ""CRYBA2"", ""ensembl_id"": ""ENSG00000163499"", ""mean_gene_expr_value"": 0.5349735021591187}, {""gene_id"": ""HGNC:18237"", ""gene_label"": ""CD99L2"", ""ensembl_id"": ""ENSG00000102181"", ""mean_gene_expr_value"": 0.7314162254333496}, {""gene_id"": ""HGNC:18292"", ""gene_label"": ""CFC1"", ""ensembl_id"": ""ENSG00000136698"", ""mean_gene_expr_value"": 0.646793007850647}]"
D30.1_4,alpha,PATO:0000383,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000142,NCBITaxon:9606,True,D30,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,female,pancreas,unknown,48-year-old human stage,3)onI80QGY,cbaf2a53-1185-4056-a1e2-9fe26128eda5,delta,19,delta,3.2634368440350843e-06,delta,Adult_Human_PancreaticIslet_pkl,UBERON:0001264,CT:0000462,pancreatic D cell,CL:0000173,skos:exactMatch,"[{""gene_id"": ""HGNC:11329"", ""gene_label"": ""SST"", ""ensembl_id"": ""ENSG00000157005"", ""mean_gene_expr_value"": 5.649065971374512}, {""gene_id"": ""HGNC:9922"", ""gene_label"": ""RBP4"", ""ensembl_id"": ""ENSG00000138207"", ""mean_gene_expr_value"": 1.8705402612686157}, {""gene_id"": ""HGNC:6554"", ""gene_label"": ""LEPR"", ""ensembl_id"": ""ENSG00000116678"", ""mean_gene_expr_value"": 0.29010167717933655}, {""gene_id"": ""HGNC:4901"", ""gene_label"": ""HHEX"", ""ensembl_id"": ""ENSG00000152804"", ""mean_gene_expr_value"": 0.2215421348810196}, {""gene_id"": ""HGNC:9364"", ""gene_label"": ""PRG4"", ""ensembl_id"": ""ENSG00000116690"", ""mean_gene_expr_value"": 0.6179269552230835}, {""gene_id"": ""HGNC:983"", ""gene_label"": ""BCHE"", ""ensembl_id"": ""ENSG00000114200"", ""mean_gene_expr_value"": 0.2604193389415741}, {""gene_id"": ""HGNC:494"", ""gene_label"": ""ANK3"", ""ensembl_id"": ""ENSG00000151150"", ""mean_gene_expr_value"": 0.26728683710098267}, {""gene_id"": ""HGNC:30251"", ""gene_label"": ""BAMBI"", ""ensembl_id"": ""ENSG00000095739"", ""mean_gene_expr_value"": 0.21508300304412842}, {""gene_id"": ""HGNC:3015"", ""gene_label"": ""DPYSL3"", ""ensembl_id"": ""ENSG00000113657"", ""mean_gene_expr_value"": 0.27756524085998535}, {""gene_id"": ""HGNC:636"", ""gene_label"": ""AQP3"", ""ensembl_id"": ""ENSG00000165272"", ""mean_gene_expr_value"": 0.7388198375701904}]"
D30.1_5,delta,PATO:0000383,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000173,unknown,HsapDv:0000142,NCBITaxon:9606,True,D30,cell,tissue,pancreatic D cell,CEL-seq2,normal,Homo sapiens,female,pancreas,unknown,48-year-old human stage,$}`<cHveB9,cbaf2a53-1185-4056-a1e2-9fe26128eda5,delta,11,delta,0.9990049871771699,delta,Adult_Human_PancreaticIslet_pkl,UBERON:0001264,CT:0000462,pancreatic D cell,CL:0000173,skos:exactMatch,"[{""gene_id"": ""HGNC:11329"", ""gene_label"": ""SST"", ""ensembl_id"": ""ENSG00000157005"", ""mean_gene_expr_value"": 5.649065971374512}, {""gene_id"": ""HGNC:9922"", ""gene_label"": ""RBP4"", ""ensembl_id"": ""ENSG00000138207"", ""mean_gene_expr_value"": 1.8705402612686157}, {""gene_id"": ""HGNC:6554"", ""gene_label"": ""LEPR"", ""ensembl_id"": ""ENSG00000116678"", ""mean_gene_expr_value"": 0.29010167717933655}, {""gene_id"": ""HGNC:4901"", ""gene_label"": ""HHEX"", ""ensembl_id"": ""ENSG00000152804"", ""mean_gene_expr_value"": 0.2215421348810196}, {""gene_id"": ""HGNC:9364"", ""gene_label"": ""PRG4"", ""ensembl_id"": ""ENSG00000116690"", ""mean_gene_expr_value"": 0.6179269552230835}, {""gene_id"": ""HGNC:983"", ""gene_label"": ""BCHE"", ""ensembl_id"": ""ENSG00000114200"", ""mean_gene_expr_value"": 0.2604193389415741}, {""gene_id"": ""HGNC:494"", ""gene_label"": ""ANK3"", ""ensembl_id"": ""ENSG00000151150"", ""mean_gene_expr_value"": 0.26728683710098267}, {""gene_id"": ""HGNC:30251"", ""gene_label"": ""BAMBI"", ""ensembl_id"": ""ENSG00000095739"", ""mean_gene_expr_value"": 0.21508300304412842}, {""gene_id"": ""HGNC:3015"", ""gene_label"": ""DPYSL3"", ""ensembl_id"": ""ENSG00000113657"", ""mean_gene_expr_value"": 0.27756524085998535}, {""gene_id"": ""HGNC:636"", ""gene_label"": ""AQP3"", ""ensembl_id"": ""ENSG00000165272"", ""mean_gene_expr_value"": 0.7388198375701904}]"
D30.1_6,delta,PATO:0000383,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000173,unknown,HsapDv:0000142,NCBITaxon:9606,True,D30,cell,tissue,pancreatic D cell,CEL-seq2,normal,Homo sapiens,female,pancreas,unknown,48-year-old human stage,d5jCN|8(;Z,cbaf2a53-1185-4056-a1e2-9fe26128eda5,delta,11,delta,0.9999437602186825,delta,Adult_Human_PancreaticIslet_pkl,UBERON:0001264,CT:0000462,pancreatic D cell,CL:0000173,skos:exactMatch,"[{""gene_id"": ""HGNC:11329"", ""gene_label"": ""SST"", ""ensembl_id"": ""ENSG00000157005"", ""mean_gene_expr_value"": 5.649065971374512}, {""gene_id"": ""HGNC:9922"", ""gene_label"": ""RBP4"", ""ensembl_id"": ""ENSG00000138207"", ""mean_gene_expr_value"": 1.8705402612686157}, {""gene_id"": ""HGNC:6554"", ""gene_label"": ""LEPR"", ""ensembl_id"": ""ENSG00000116678"", ""mean_gene_expr_value"": 0.29010167717933655}, {""gene_id"": ""HGNC:4901"", ""gene_label"": ""HHEX"", ""ensembl_id"": ""ENSG00000152804"", ""mean_gene_expr_value"": 0.2215421348810196}, {""gene_id"": ""HGNC:9364"", ""gene_label"": ""PRG4"", ""ensembl_id"": ""ENSG00000116690"", ""mean_gene_expr_value"": 0.6179269552230835}, {""gene_id"": ""HGNC:983"", ""gene_label"": ""BCHE"", ""ensembl_id"": ""ENSG00000114200"", ""mean_gene_expr_value"": 0.2604193389415741}, {""gene_id"": ""HGNC:494"", ""gene_label"": ""ANK3"", ""ensembl_id"": ""ENSG00000151150"", ""mean_gene_expr_value"": 0.26728683710098267}, {""gene_id"": ""HGNC:30251"", ""gene_label"": ""BAMBI"", ""ensembl_id"": ""ENSG00000095739"", ""mean_gene_expr_value"": 0.21508300304412842}, {""gene_id"": ""HGNC:3015"", ""gene_label"": ""DPYSL3"", ""ensembl_id"": ""ENSG00000113657"", ""mean_gene_expr_value"": 0.27756524085998535}, {""gene_id"": ""HGNC:636"", ""gene_label"": ""AQP3"", ""ensembl_id"": ""ENSG00000165272"", ""mean_gene_expr_value"": 0.7388198375701904}]"
D30.1_7,alpha,PATO:0000383,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000142,NCBITaxon:9606,True,D30,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,female,pancreas,unknown,48-year-old human stage,6K}DiD)rzy,cbaf2a53-1185-4056-a1e2-9fe26128eda5,alpha_MHC II,31,alpha_MHC II,5.964791119591181e-05,alpha_MHC II,Adult_Human_PancreaticIslet_pkl,UBERON:0001264,CT:0000452,pancreatic A cell:MHC II,CL:0000171,skos:narrowMatch,"[{""gene_id"": ""HGNC:15908"", ""gene_label"": ""NAA20"", ""ensembl_id"": ""ENSG00000173418"", ""mean_gene_expr_value"": 1.9895219802856445}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 1.880687952041626}, {""gene_id"": ""HGNC:402"", ""gene_label"": ""ALDH1A1"", ""ensembl_id"": ""ENSG00000165092"", ""mean_gene_expr_value"": 2.514449119567871}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 0.7813628911972046}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 5.175206661224365}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 5.736221790313721}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 1.7976632118225098}, {""gene_id"": ""HGNC:2395"", ""gene_label"": ""CRYBA2"", ""ensembl_id"": ""ENSG00000163499"", ""mean_gene_expr_value"": 0.5349735021591187}, {""gene_id"": ""HGNC:18237"", ""gene_label"": ""CD99L2"", ""ensembl_id"": ""ENSG00000102181"", ""mean_gene_expr_value"": 0.7314162254333496}, {""gene_id"": ""HGNC:18292"", ""gene_label"": ""CFC1"", ""ensembl_id"": ""ENSG00000136698"", ""mean_gene_expr_value"": 0.646793007850647}]"
D30.1_9,alpha,PATO:0000383,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000142,NCBITaxon:9606,True,D30,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,female,pancreas,unknown,48-year-old human stage,84#umGfJ+K,cbaf2a53-1185-4056-a1e2-9fe26128eda5,alpha_stress II,10,alpha_MHC II,0.004897598081044004,alpha_stress II,Adult_Human_PancreaticIslet_pkl,UBERON:0001264,CT:0000455,pancreatic A cell:stress II,CL:0000171,skos:narrowMatch,"[{""gene_id"": ""HGNC:15908"", ""gene_label"": ""NAA20"", ""ensembl_id"": ""ENSG00000173418"", ""mean_gene_expr_value"": 1.9895219802856445}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 1.880687952041626}, {""gene_id"": ""HGNC:402"", ""gene_label"": ""ALDH1A1"", ""ensembl_id"": ""ENSG00000165092"", ""mean_gene_expr_value"": 2.514449119567871}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 0.7813628911972046}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 5.175206661224365}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 5.736221790313721}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 1.7976632118225098}, {""gene_id"": ""HGNC:2395"", ""gene_label"": ""CRYBA2"", ""ensembl_id"": ""ENSG00000163499"", ""mean_gene_expr_value"": 0.5349735021591187}, {""gene_id"": ""HGNC:18237"", ""gene_label"": ""CD99L2"", ""ensembl_id"": ""ENSG00000102181"", ""mean_gene_expr_value"": 0.7314162254333496}, {""gene_id"": ""HGNC:18292"", ""gene_label"": ""CFC1"", ""ensembl_id"": ""ENSG00000136698"", ""mean_gene_expr_value"": 0.646793007850647}]"
D30.1_10,alpha,PATO:0000383,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000142,NCBITaxon:9606,True,D30,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,female,pancreas,unknown,48-year-old human stage,=C#R!lF+_P,cbaf2a53-1185-4056-a1e2-9fe26128eda5,alpha_stress II,1,alpha_MHC II,0.9981144301782633,alpha_stress II,Adult_Human_PancreaticIslet_pkl,UBERON:0001264,CT:0000455,pancreatic A cell:stress II,CL:0000171,skos:narrowMatch,"[{""gene_id"": ""HGNC:15908"", ""gene_label"": ""NAA20"", ""ensembl_id"": ""ENSG00000173418"", ""mean_gene_expr_value"": 1.9895219802856445}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 1.880687952041626}, {""gene_id"": ""HGNC:402"", ""gene_label"": ""ALDH1A1"", ""ensembl_id"": ""ENSG00000165092"", ""mean_gene_expr_value"": 2.514449119567871}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 0.7813628911972046}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 5.175206661224365}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 5.736221790313721}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 1.7976632118225098}, {""gene_id"": ""HGNC:2395"", ""gene_label"": ""CRYBA2"", ""ensembl_id"": ""ENSG00000163499"", ""mean_gene_expr_value"": 0.5349735021591187}, {""gene_id"": ""HGNC:18237"", ""gene_label"": ""CD99L2"", ""ensembl_id"": ""ENSG00000102181"", ""mean_gene_expr_value"": 0.7314162254333496}, {""gene_id"": ""HGNC:18292"", ""gene_label"": ""CFC1"", ""ensembl_id"": ""ENSG00000136698"", ""mean_gene_expr_value"": 0.646793007850647}]"
D30.1_13,duct,PATO:0000383,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0002079,unknown,HsapDv:0000142,NCBITaxon:9606,True,D30,cell,tissue,pancreatic ductal cell,CEL-seq2,normal,Homo sapiens,female,pancreas,unknown,48-year-old human stage,@p7Kkv|&r|,cbaf2a53-1185-4056-a1e2-9fe26128eda5,alpha_immature,12,delta,0.9999999999427986,alpha_immature,Adult_Human_PancreaticIslet_pkl,UBERON:0001264,CT:0000453,pancreatic A cell:immature,CL:0000171,skos:narrowMatch,"[{""gene_id"": ""HGNC:15908"", ""gene_label"": ""NAA20"", ""ensembl_id"": ""ENSG00000173418"", ""mean_gene_expr_value"": 1.9895219802856445}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 1.880687952041626}, {""gene_id"": ""HGNC:402"", ""gene_label"": ""ALDH1A1"", ""ensembl_id"": ""ENSG00000165092"", ""mean_gene_expr_value"": 2.514449119567871}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 0.7813628911972046}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 5.175206661224365}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 5.736221790313721}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 1.7976632118225098}, {""gene_id"": ""HGNC:2395"", ""gene_label"": ""CRYBA2"", ""ensembl_id"": ""ENSG00000163499"", ""mean_gene_expr_value"": 0.5349735021591187}, {""gene_id"": ""HGNC:18237"", ""gene_label"": ""CD99L2"", ""ensembl_id"": ""ENSG00000102181"", ""mean_gene_expr_value"": 0.7314162254333496}, {""gene_id"": ""HGNC:18292"", ""gene_label"": ""CFC1"", ""ensembl_id"": ""ENSG00000136698"", ""mean_gene_expr_value"": 0.646793007850647}]"
D30.1_14,beta,PATO:0000383,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000169,unknown,HsapDv:0000142,NCBITaxon:9606,True,D30,cell,tissue,type B pancreatic cell,CEL-seq2,normal,Homo sapiens,female,pancreas,unknown,48-year-old human stage,=no<pb0mK|,cbaf2a53-1185-4056-a1e2-9fe26128eda5,beta_MHC/autoantigen,17,beta_MHC/autoantigen,0.9529121703156856,beta_MHC/autoantigen,Adult_Human_PancreaticIslet_pkl,UBERON:0001264,CT:0000456,type B pancreatic cell:MHCII presenting,CL:0000171,skos:narrowMatch,"[{""gene_id"": ""HGNC:15908"", ""gene_label"": ""NAA20"", ""ensembl_id"": ""ENSG00000173418"", ""mean_gene_expr_value"": 1.9895219802856445}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 1.880687952041626}, {""gene_id"": ""HGNC:402"", ""gene_label"": ""ALDH1A1"", ""ensembl_id"": ""ENSG00000165092"", ""mean_gene_expr_value"": 2.514449119567871}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 0.7813628911972046}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 5.175206661224365}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 5.736221790313721}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 1.7976632118225098}, {""gene_id"": ""HGNC:2395"", ""gene_label"": ""CRYBA2"", ""ensembl_id"": ""ENSG00000163499"", ""mean_gene_expr_value"": 0.5349735021591187}, {""gene_id"": ""HGNC:18237"", ""gene_label"": ""CD99L2"", ""ensembl_id"": ""ENSG00000102181"", ""mean_gene_expr_value"": 0.7314162254333496}, {""gene_id"": ""HGNC:18292"", ""gene_label"": ""CFC1"", ""ensembl_id"": ""ENSG00000136698"", ""mean_gene_expr_value"": 0.646793007850647}]"
D30.1_15,alpha,PATO:0000383,UBERON:0001264,EFO:0010010,PATO:0000461,CL:0000171,unknown,HsapDv:0000142,NCBITaxon:9606,True,D30,cell,tissue,pancreatic A cell,CEL-seq2,normal,Homo sapiens,female,pancreas,unknown,48-year-old human stage,zZ%;o<X4r6,cbaf2a53-1185-4056-a1e2-9fe26128eda5,alpha_MHC II,1,alpha_MHC II,0.00020871846127994712,alpha_MHC II,Adult_Human_PancreaticIslet_pkl,UBERON:0001264,CT:0000452,pancreatic A cell:MHC II,CL:0000171,skos:narrowMatch,"[{""gene_id"": ""HGNC:15908"", ""gene_label"": ""NAA20"", ""ensembl_id"": ""ENSG00000173418"", ""mean_gene_expr_value"": 1.9895219802856445}, {""gene_id"": ""HGNC:11060"", ""gene_label"": ""SLC7A2"", ""ensembl_id"": ""ENSG00000003989"", ""mean_gene_expr_value"": 1.880687952041626}, {""gene_id"": ""HGNC:402"", ""gene_label"": ""ALDH1A1"", ""ensembl_id"": ""ENSG00000165092"", ""mean_gene_expr_value"": 2.514449119567871}, {""gene_id"": ""HGNC:14359"", ""gene_label"": ""IRX2"", ""ensembl_id"": ""ENSG00000170561"", ""mean_gene_expr_value"": 0.7813628911972046}, {""gene_id"": ""HGNC:12405"", ""gene_label"": ""TTR"", ""ensembl_id"": ""ENSG00000118271"", ""mean_gene_expr_value"": 5.175206661224365}, {""gene_id"": ""HGNC:4191"", ""gene_label"": ""GCG"", ""ensembl_id"": ""ENSG00000115263"", ""mean_gene_expr_value"": 5.736221790313721}, {""gene_id"": ""HGNC:6408"", ""gene_label"": ""MAFB"", ""ensembl_id"": ""ENSG00000204103"", ""mean_gene_expr_value"": 1.7976632118225098}, {""gene_id"": ""HGNC:2395"", ""gene_label"": ""CRYBA2"", ""ensembl_id"": ""ENSG00000163499"", ""mean_gene_expr_value"": 0.5349735021591187}, {""gene_id"": ""HGNC:18237"", ""gene_label"": ""CD99L2"", ""ensembl_id"": ""ENSG00000102181"", ""mean_gene_expr_value"": 0.7314162254333496}, {""gene_id"": ""HGNC:18292"", ""gene_label"": ""CFC1"", ""ensembl_id"": ""ENSG00000136698"", ""mean_gene_expr_value"": 0.646793007850647}]"
